protocol_id,setting,seed,method,analysis_type,application,precision,recall,f1,support,known_frr,unknown_recall,ufar,score_mean,score_median,top_absorbing_known_class,top_absorbed_count,hard_class
medium_seed2023,Medium,2023,M0,known_true_class,sftp,0.4696969696969697,0.37349397590361444,0.4161073825503356,166,0.006024096385542169,,,3.4790414428136436,3.1947739124298096,,,True
medium_seed2023,Medium,2023,M0,known_true_class,vimeo,1.0,0.9917355371900827,0.995850622406639,121,0.024793388429752067,,,4.366741119337476,3.9368906021118164,,,False
medium_seed2023,Medium,2023,M0,known_true_class,youtube,0.9714285714285714,1.0,0.9855072463768116,34,0.8823529411764706,,,14.433044573839974,11.938595294952393,,,False
medium_seed2023,Medium,2023,M0,known_true_class,zoiper,0.9789473684210527,1.0,0.9893617021276596,93,0.043010752688172046,,,6.087876396794473,5.2174177169799805,,,False
medium_seed2023,Medium,2023,M0,unknown_true_class,netflix,,,,205,,0.5804878048780487,0.4195121951219512,11.2881093257811,9.778573036193848,youtube,201,False
medium_seed2023,Medium,2023,M0,unknown_true_class,skype,,,,1269,,0.7438928289992119,0.256107171000788,16.257739359981155,18.03499412536621,rdp,778,False
medium_seed2023,Medium,2023,M0,unknown_true_class,ssh,,,,13563,,0.22119000221190002,0.7788099977881,7.1531970063766215,6.853402137756348,rsync,10902,False
medium_seed2023,Medium,2023,M1,known_true_class,rdp,0.4,1.0,0.5714285714285714,4,0.75,,,5.036075081954268,4.9660313332042385,,,False
medium_seed2023,Medium,2023,M1,known_true_class,rsync,0.3508771929824561,0.5235602094240838,0.42016806722689076,191,0.015706806282722512,,,0.6594708786959805,0.5047926986954964,,,True
medium_seed2023,Medium,2023,M1,known_true_class,scp,0.4,0.11353711790393013,0.17687074829931973,229,0.03056768558951965,,,0.7321496085795055,0.5429390849967708,,,True
medium_seed2023,Medium,2023,M1,known_true_class,sftp,0.34615384615384615,0.4879518072289157,0.405,166,0.018072289156626505,,,0.7188602587879955,0.5766338625741025,,,True
medium_seed2023,Medium,2023,M1,known_true_class,vimeo,1.0,0.9917355371900827,0.995850622406639,121,0.06611570247933884,,,1.738092944243245,1.1414520145445504,,,False
